nome=Daniel e Erick Pães e Doces ME, cnpj=85.572.055/0001-29, inscricaoEst=27901219-5, dataAbertura=08/04/2016, site=www.danielerick.com.br, email=treinamento@danielerick.com.br, cep=61621-180, rua=Rua das Flores, numero=477, bairro=Jardim Icaraí, cidade=Caucaia, estado=CE, telefone=(85) 2852-2198, celular=(85) 98840-5611
nome=Calebe e Melissa Informática Ltda, cnpj=15.347.670/0001-56, inscricaoEst=46054494-2, dataAbertura=10/03/2005, site=www.calebemelissa.com.br, email=pos_venda@calebemelissa.com.br, cep=60340-104, rua=Vila Clotilde, numero=720, bairro=Jardim Iracema, cidade=Fortaleza, estado=CE, telefone=(85) 2608-9850, celular=(85) 99751-2379
nome=Julia e Maria Entregas Expressas ME, cnpj=24.537.203/0001-80, inscricaoEst=86114513-5, dataAbertura=14/10/2004, site=www.juliamaria.com.br, email=marketing@juliamaria.com.br, cep=63040-650, rua=Rua Hilda Maria de Lima, numero=244, bairro=Lagoa Seca, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 3955-6369, celular=(88) 98846-1182
nome=Kamilly e Renato Casa Noturna ME, cnpj=88.512.462/0001-39, inscricaoEst=15028356-3, dataAbertura=21/01/2003, site=www.kamillyrenato.com.br, email=desenvolvimento@kamillyrenato.com.br, cep=60833-316, rua=Travessa das Flores, numero=183, bairro=Sapiranga, cidade=Fortaleza, estado=CE, telefone=(85) 2773-4553, celular=(85) 99424-5581
nome=Joana e Vitória Padaria Ltda, cnpj=38.955.844/0001-69, inscricaoEst=39756786-3, dataAbertura=26/03/2002, site=www.joanavitoria.com.br, email=ouvidoria@joanavitoria.com.br, cep=61605-295, rua=Rua 5, numero=774, bairro=Cigana, cidade=Caucaia, estado=CE, telefone=(85) 2675-1370, celular=(85) 98290-6490
nome=Sara e Guilherme Filmagens ME, cnpj=54.262.039/0001-06, inscricaoEst=60201059-4, dataAbertura=14/02/2001, site=www.saraguilherme.com.br, email=producao@saraguilherme.com.br, cep=60862-083, rua=Rua Três Corações, numero=578, bairro=Passaré, cidade=Fortaleza, estado=CE, telefone=(85) 3859-8238, celular=(85) 98824-5548
nome=Hugo e Gabriela Eletrônica ME, cnpj=15.347.670/0001-56, inscricaoEst=46054494-2, dataAbertura=10/03/2000, site=www.hugogabriela.com.br, email=financeiro@hugogabriela.com.br, cep=60720-770, rua=Vila Barbosa, numero=720, bairro=Parangaba, cidade=Fortaleza, estado=CE, telefone=(85) 2608-9850, celular=(85) 99751-2379
nome=Elisa e Ana Publicidade e Propaganda Ltda, cnpj=19.892.383/0001-88, inscricaoEst=94994242-1, dataAbertura=13/01/1999, site=www.elisaana.com.br, email=tesouraria@elisaana.com.br, cep=60010-620, rua=Rua Júlio César, numero=381, bairro=Jacarecanga, cidade=Fortaleza, estado=CE, telefone=(85) 3891-8069, celular=(85) 99888-7015
nome=Guilherme e Lara Telas Ltda, cnpj=24.873.290/0001-46, inscricaoEst=74158343-7, dataAbertura=22/11/1998, site=www.guilhermelara.com.br, email=pesquisa@guilhermelara.com.br, cep=62050-280, rua=Rua Sinhá Sabóia, numero=234, bairro=Sinhá Sabóia, cidade=Sobral, estado=CE, telefone=(88) 3590-0649, celular=(88) 98849-4714
nome=Danilo e Alexandre Transportes Ltda, cnpj=67.733.155/0001-08, inscricaoEst=93855818-8, dataAbertura=12/11/1997, site=www.daniloalexandre.com.br, email=financeiro@daniloalexandre.com.br, cep=60340-015, rua=Vila Santo Cristo, numero=539, bairro=Jardim Iracema, cidade=Fortaleza, estado=CE, telefone=(85) 2540-4527, celular=(85) 99956-2987
nome=Brenda e César Corretores Associados Ltda, cnpj=77.923.134/0001-09, inscricaoEst=89705134-3, dataAbertura=16/04/1996, site=www.brendacesar.com.br, email=contato@brendacesar.com.br, cep=61912-170, rua=Rua 3, numero=901, bairro=Pau-Serrado, cidade=Maracanaú, estado=CE, telefone=(85) 2824-6080, celular=(85) 98672-7141
nome=Bruno e Lucca Buffet ME, cnpj=13.051.000/0001-62, inscricaoEst=43158419-2, dataAbertura=07/07/1995, site=www.brunolucca.com.br, email=manutencao@brunolucca.com.br, cep=61915-160, rua=Rua Coronel Antônio Ludugero, numero=438, bairro=Jaçanaú, cidade=Maracanaú, estado=CE, telefone=(85) 3661-3296, celular=(85) 99100-6106
nome=Henry e Danilo Esportes ME, cnpj=58.486.924/0001-20, inscricaoEst=81317025-7, dataAbertura=20/06/1994, site=www.henrydanilo.com.br, email=treinamento@henrydanilo.com.br, cep=60332-600, rua=Rua Barra Vento, numero=649, bairro=Barra do Ceará, cidade=Fortaleza, estado=CE, telefone=(85) 3852-5237, celular=(85) 98966-8260
nome=Murilo e Igor Pizzaria Ltda, cnpj=43.799.310/0001-20, inscricaoEst=12707646-8, dataAbertura=19/02/1993, site=www.muriloigor.com.br, email=fabricacao@muriloigor.com.br, cep=60861-380, rua=Rua Giovanni Batista Montini, numero=189, bairro=Passaré, cidade=Fortaleza, estado=CE, telefone=(85) 2737-6333, celular=(85) 99876-7698
nome=Diego e Alexandre Telecom Ltda, cnpj=43.799.310/0001-20, inscricaoEst=12707646-8, dataAbertura=19/02/1992, site=www.diegoalexandre.com.br, email=ti@diegoalexandre.com.br, cep=60540-510, rua=Rua José Torres, numero=189, bairro=Granja Lisboa, cidade=Fortaleza, estado=CE, telefone=(85) 2737-6333, celular=(85) 99876-7698
nome=Laura e Lorena Casa Noturna ME, cnpj=38.955.844/0001-69, inscricaoEst=39756786-3, dataAbertura=26/03/1991, site=www.lauralorena.com.br, email=fiscal@lauralorena.com.br, cep=60810-090, rua=Rua Olavo Lima Silva, numero=774, bairro=Patriolino Ribeiro, cidade=Fortaleza, estado=CE, telefone=(85) 2675-1370, celular=(85) 98290-6490
nome=Augusto e Otávio Telas Ltda, cnpj=77.921.110/0001-10, inscricaoEst=70207878-6, dataAbertura=04/08/1990, site=www.augustootavio.com.br, email=producao@augustootavio.com.br, cep=63030-175, rua=Rua Primeiro de Maio, numero=832, bairro=Limoeiro, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 3698-9930, celular=(88) 99187-3085
nome=Fernando e Bianca Publicidade e Propaganda ME, cnpj=15.347.670/0001-56, inscricaoEst=46054494-2, dataAbertura=10/03/1989, site=www.fernandobianca.com.br, email=treinamento@fernandobianca.com.br, cep=60812-730, rua=Travessa Ibiapaba, numero=720, bairro=Edson Queiroz, cidade=Fortaleza, estado=CE, telefone=(85) 2608-9850, celular=(85) 99751-2379
nome=Daniel e Alice Corretores Associados ME, cnpj=38.216.096/0001-00, inscricaoEst=73218562-9, dataAbertura=14/03/1988, site=www.danielalice.com.br, email=auditoria@danielalice.com.br, cep=63100-972, rua=Rua Tristão Gonçalves 399, numero=575, bairro=Centro, cidade=Crato, estado=CE, telefone=(88) 3707-0432, celular=(88) 98714-8858
nome=Marcela e Arthur Publicidade e Propaganda ME, cnpj=86.114.860/0001-71, inscricaoEst=76959767-0, dataAbertura=10/01/1987, site=www.marcelaarthur.com.br, email=financeiro@marcelaarthur.com.br, cep=60055-040, rua=Avenida do Forte, numero=955, bairro=Centro, cidade=Fortaleza, estado=CE, telefone=(85) 2982-5262, celular=(85) 98494-5322
nome=Yuri e Cauê Pizzaria ME, cnpj=84.269.469/0001-10, inscricaoEst=93332216-0, dataAbertura=23/07/1986, site=www.yuricaue.com.br, email=contato@yuricaue.com.br, cep=60710-230, rua=Vila Rosa Pinheiro, numero=840, bairro=Parangaba, cidade=Fortaleza, estado=CE, telefone=(85) 2623-5495, celular=(85) 99890-4951
nome=André e Joana Entregas Expressas ME, cnpj=15.347.670/0001-56, inscricaoEst=46054494-2, dataAbertura=10/03/1985, site=www.andrejoana.com.br, email=juridico@andrejoana.com.br, cep=60182-085, rua=Travessa Angélica, numero=720, bairro=Vicente Pinzon, cidade=Fortaleza, estado=CE, telefone=(85) 2608-9850, celular=(85) 99751-2379
nome=Rebeca e Diogo Alimentos Ltda, cnpj=34.047.023/0001-73, inscricaoEst=34610798-9, dataAbertura=06/08/1984, site=www.rebecadiogo.com.br, email=atendimento@rebecadiogo.com.br, cep=61634-310, rua=Rua 4, numero=195, bairro=Tabapuá, cidade=Caucaia, estado=CE, telefone=(85) 3615-4206, celular=(85) 98411-8820
nome=Juan e Isaac Buffet Ltda, cnpj=03.415.590/0001-01, inscricaoEst=92232623-1, dataAbertura=09/06/1983, site=www.juanisaac.com.br, email=financeiro@juanisaac.com.br, cep=62051-280, rua=Rua São João, numero=258, bairro=Cidade Gerardo Cristino de Menezes, cidade=Sobral, estado=CE, telefone=(88) 3685-2663, celular=(88) 98769-8257
nome=Tomás e Olivia Financeira Ltda, cnpj=24.873.290/0001-46, inscricaoEst=74158343-7, dataAbertura=22/11/1982, site=www.tomasolivia.com.br, email=representantes@tomasolivia.com.br, cep=61920-570, rua=Rua 114, numero=234, bairro=Acaracuzinho, cidade=Maracanaú, estado=CE, telefone=(85) 3590-0649, celular=(85) 98849-4714
nome=Paulo e Pietro Contábil Ltda, cnpj=32.412.234/0001-32, inscricaoEst=08128129-3, dataAbertura=01/10/1981, site=www.paulopietro.com.br, email=sac@paulopietro.com.br, cep=60525-238, rua=Vila Edmar, numero=755, bairro=João XXIII, cidade=Fortaleza, estado=CE, telefone=(85) 2567-2710, celular=(85) 98535-6579
nome=Vinicius e Mirella Pizzaria ME, cnpj=24.873.290/0001-46, inscricaoEst=74158343-7, dataAbertura=22/11/1980, site=www.viniciusmirella.com.br, email=cobranca@viniciusmirella.com.br, cep=63043-355, rua=Rua Terezinha Alves da Silva, numero=234, bairro=Frei Damião, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 3590-0649, celular=(88) 98849-4714
nome=Carlos Eduardo e Carolina Mudanças ME, cnpj=24.873.290/0001-46, inscricaoEst=74158343-7, dataAbertura=22/11/1979, site=www.carlos_eduardocarolina.com.br, email=vendas@carlos_eduardocarolina.com.br, cep=60810-440, rua=Rua Nova Esperança, numero=234, bairro=Engenheiro Luciano Cavalcante, cidade=Fortaleza, estado=CE, telefone=(85) 3590-0649, celular=(85) 98849-4714
nome=Olivia e Benjamin Lavanderia Ltda, cnpj=74.065.708/0001-67, inscricaoEst=48307415-2, dataAbertura=19/02/1978, site=www.oliviabenjamin.com.br, email=sac@oliviabenjamin.com.br, cep=63125-265, rua=Rua José Itamar Bruno Rodrigues, numero=401, bairro=Mirandão, cidade=Crato, estado=CE, telefone=(88) 3901-7507, celular=(88) 99719-4774
nome=Luiz e Emanuelly Marcenaria ME, cnpj=14.524.702/0001-89, inscricaoEst=39512868-4, dataAbertura=05/10/1977, site=www.luizemanuelly.com.br, email=compras@luizemanuelly.com.br, cep=60534-645, rua=Vila Holanda, numero=729, bairro=Parque Genibaú, cidade=Fortaleza, estado=CE, telefone=(85) 2972-1839, celular=(85) 98536-7848
nome=Henrique e Renan Marketing ME, cnpj=29.544.155/0001-70, inscricaoEst=10899582-8, dataAbertura=07/11/1976, site=www.henriquerenan.com.br, email=producao@henriquerenan.com.br, cep=60455-150, rua=Vila Procópio Cruz, numero=444, bairro=Parquelândia, cidade=Fortaleza, estado=CE, telefone=(85) 2902-5392, celular=(85) 99225-5771
nome=André e Helena Construções Ltda, cnpj=25.135.541/0001-58, inscricaoEst=23451404-3, dataAbertura=03/02/1975, site=www.andrehelena.com.br, email=manutencao@andrehelena.com.br, cep=61652-060, rua=Rua da Paz, numero=133, bairro=Araturi (Jurema), cidade=Caucaia, estado=CE, telefone=(85) 2711-9828, celular=(85) 98432-7982
nome=Lucca e Cecília Ferragens ME, cnpj=25.135.541/0001-58, inscricaoEst=23451404-3, dataAbertura=03/02/1974, site=www.luccacecilia.com.br, email=estoque@luccacecilia.com.br, cep=60030-101, rua=Rua São Paulo, numero=133, bairro=Centro, cidade=Fortaleza, estado=CE, telefone=(85) 2711-9828, celular=(85) 98432-7982
nome=Bernardo e Heitor Contábil ME, cnpj=77.921.110/0001-10, inscricaoEst=70207878-6, dataAbertura=04/08/1973, site=www.bernardoheitor.com.br, email=producao@bernardoheitor.com.br, cep=60767-510, rua=Travessa Santa Edwirges, numero=832, bairro=Mondubim, cidade=Fortaleza, estado=CE, telefone=(85) 3698-9930, celular=(85) 99187-3085
nome=Gustavo e Brenda Pizzaria Delivery ME, cnpj=36.168.564/0001-85, inscricaoEst=03085771-6, dataAbertura=20/12/1972, site=www.gustavobrenda.com.br, email=rh@gustavobrenda.com.br, cep=60311-120, rua=Rua Rio Nilo, numero=984, bairro=Pirambu, cidade=Fortaleza, estado=CE, telefone=(85) 2684-0098, celular=(85) 98344-9395
nome=Marcela e Mirella Telecomunicações ME, cnpj=63.899.416/0001-03, inscricaoEst=20595980-6, dataAbertura=26/11/1971, site=www.marcelamirella.com.br, email=diretoria@marcelamirella.com.br, cep=60442-058, rua=Rua Matos Vasconcelos, numero=741, bairro=Couto Fernandes, cidade=Fortaleza, estado=CE, telefone=(85) 2769-3109, celular=(85) 98731-6368
nome=Valentina e Julia Corretores Associados Ltda, cnpj=63.899.416/0001-03, inscricaoEst=20595980-6, dataAbertura=26/11/1970, site=www.valentinajulia.com.br, email=atendimento@valentinajulia.com.br, cep=60734-250, rua=Rua de Pedestre IX, numero=741, bairro=Canindezinho, cidade=Fortaleza, estado=CE, telefone=(85) 2769-3109, celular=(85) 98731-6368
nome=Felipe e Sophie Assessoria Jurídica Ltda, cnpj=86.452.730/0001-49, inscricaoEst=04891277-8, dataAbertura=16/05/1969, site=www.felipesophie.com.br, email=ouvidoria@felipesophie.com.br, cep=60811-460, rua=Rua Professor Eládio Magalhães, numero=353, bairro=Edson Queiroz, cidade=Fortaleza, estado=CE, telefone=(85) 2830-5175, celular=(85) 98615-1434
nome=Luana e Caroline Lavanderia Ltda, cnpj=01.454.761/0001-86, inscricaoEst=70558117-9, dataAbertura=12/10/1968, site=www.luanacaroline.com.br, email=pos_venda@luanacaroline.com.br, cep=60342-230, rua=Rua J, numero=772, bairro=Vila Velha, cidade=Fortaleza, estado=CE, telefone=(85) 2602-3225, celular=(85) 99372-8205
nome=Vinicius e Mariana Assessoria Jurídica Ltda, cnpj=25.135.541/0001-58, inscricaoEst=23451404-3, dataAbertura=03/02/1967, site=www.viniciusmariana.com.br, email=rh@viniciusmariana.com.br, cep=60525-240, rua=Rua Miramar, numero=133, bairro=Henrique Jorge, cidade=Fortaleza, estado=CE, telefone=(85) 2711-9828, celular=(85) 98432-7982
nome=Luiz e Laís Assessoria Jurídica Ltda, cnpj=86.452.730/0001-49, inscricaoEst=04891277-8, dataAbertura=16/05/1966, site=www.luizlais.com.br, email=tesouraria@luizlais.com.br, cep=63050-191, rua=Travessa Professora Maria Pedrina, numero=353, bairro=Santo Antônio, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 2830-5175, celular=(88) 98615-1434
nome=João e Olivia Corretores Associados Ltda, cnpj=84.056.616/0001-74, inscricaoEst=06040753-0, dataAbertura=14/03/1965, site=www.joaoolivia.com.br, email=contabilidade@joaoolivia.com.br, cep=62910-970, rua=Praça do Mercado 23, numero=530, bairro=Centro, cidade=Palhano, estado=CE, telefone=(88) 3698-0007, celular=(88) 98915-5816
nome=Bruna e Larissa Financeira ME, cnpj=94.176.189/0001-11, inscricaoEst=48861476-7, dataAbertura=13/12/1964, site=www.brunalarissa.com.br, email=cobranca@brunalarissa.com.br, cep=60870-754, rua=Travessa Almeida, numero=784, bairro=Jangurussu, cidade=Fortaleza, estado=CE, telefone=(85) 3999-6084, celular=(85) 98783-4553
nome=Sabrina e Lara Doces & Salgados ME, cnpj=41.136.656/0001-13, inscricaoEst=36793133-8, dataAbertura=10/04/1963, site=www.sabrinalara.com.br, email=vendas@sabrinalara.com.br, cep=60713-445, rua=Rua Josefa Castro Sousa, numero=677, bairro=Manuel Sátiro, cidade=Fortaleza, estado=CE, telefone=(85) 2697-1139, celular=(85) 98802-2697
nome=Amanda e Filipe Limpeza Ltda, cnpj=14.743.024/0001-45, inscricaoEst=94955305-0, dataAbertura=03/02/1962, site=www.amandafilipe.com.br, email=pos_venda@amandafilipe.com.br, cep=62310-972, rua=Vila Quatiguaba, numero=464, bairro=Centro, cidade=Quatiguaba, estado=CE, telefone=(88) 2861-0508, celular=(88) 98220-5618
nome=Anthony e Bruna Limpeza Ltda, cnpj=25.135.541/0001-58, inscricaoEst=23451404-3, dataAbertura=03/02/1961, site=www.anthonybruna.com.br, email=rh@anthonybruna.com.br, cep=60025-065, rua=Rua Major Facundo, numero=133, bairro=Fátima, cidade=Fortaleza, estado=CE, telefone=(85) 2711-9828, celular=(85) 98432-7982
nome=Emanuel e Catarina Comercio de Bebidas Ltda, cnpj=59.378.856/0001-48, inscricaoEst=97495571-0, dataAbertura=14/08/1960, site=www.emanuelcatarina.com.br, email=financeiro@emanuelcatarina.com.br, cep=61663-145, rua=Rua Beira Rio, numero=769, bairro=Toco (Jurema), cidade=Caucaia, estado=CE, telefone=(85) 2727-2960, celular=(85) 98208-8873
nome=Anthony e Benício Telas ME, cnpj=69.646.081/0001-06, inscricaoEst=99206550-0, dataAbertura=27/07/1959, site=www.anthonybenicio.com.br, email=treinamento@anthonybenicio.com.br, cep=60872-409, rua=Rua Dom Aluísio Loschaider, numero=616, bairro=Coaçu, cidade=Fortaleza, estado=CE, telefone=(85) 3660-4202, celular=(85) 99625-0869
nome=Giovanna e Alana Telas Ltda, cnpj=63.899.416/0001-03, inscricaoEst=20595980-6, dataAbertura=26/11/1958, site=www.giovannaalana.com.br, email=financeiro@giovannaalana.com.br, cep=61645-020, rua=Rua Osvaldo Cruz, numero=741, bairro=Parque Albano (Jurema), cidade=Caucaia, estado=CE, telefone=(85) 2769-3109, celular=(85) 98731-6368
nome=Diego e Gabriela Vidros ME, cnpj=59.378.856/0001-48, inscricaoEst=97495571-0, dataAbertura=14/08/2016, site=www.diegogabriela.com.br, email=diretoria@diegogabriela.com.br, cep=60752-330, rua=Rua 3, numero=769, bairro=Mondubim, cidade=Fortaleza, estado=CE, telefone=(85) 2727-2960, celular=(85) 98208-8873
nome=Clara e Olivia Marketing Ltda, cnpj=70.979.416/0001-89, inscricaoEst=05893360-3, dataAbertura=22/06/2015, site=www.claraolivia.com.br, email=representantes@claraolivia.com.br, cep=60748-208, rua=Avenida Sapucaia Condomínio 4 Bloco 9, numero=434, bairro=Prefeito José Walter, cidade=Fortaleza, estado=CE, telefone=(85) 3768-9781, celular=(85) 99618-3134
nome=Lorenzo e Giovanna Informática Ltda, cnpj=84.056.616/0001-74, inscricaoEst=06040753-0, dataAbertura=14/03/2014, site=www.lorenzogiovanna.com.br, email=auditoria@lorenzogiovanna.com.br, cep=61913-090, rua=Rua 9, numero=530, bairro=Cágado, cidade=Maracanaú, estado=CE, telefone=(85) 3698-0007, celular=(85) 98915-5816
nome=Catarina e Ana Informática Ltda, cnpj=63.899.416/0001-03, inscricaoEst=20595980-6, dataAbertura=26/11/2013, site=www.catarinaana.com.br, email=fale_conosco@catarinaana.com.br, cep=60180-810, rua=Vila Cinderela, numero=741, bairro=Cais do Porto, cidade=Fortaleza, estado=CE, telefone=(85) 2769-3109, celular=(85) 98731-6368
nome=Isaac e Ana Consultoria Financeira Ltda, cnpj=84.056.616/0001-74, inscricaoEst=06040753-0, dataAbertura=14/03/2012, site=www.isaacana.com.br, email=producao@isaacana.com.br, cep=63909-080, rua=Rua Regina Fátima Pinto Vieira, numero=530, bairro=Jardim dos Monólitos, cidade=Quixadá, estado=CE, telefone=(88) 3698-0007, celular=(88) 98915-5816
nome=Danilo e Natália Locações de Automóveis ME, cnpj=04.162.761/0001-09, inscricaoEst=74397531-6, dataAbertura=20/06/2011, site=www.danilonatalia.com.br, email=producao@danilonatalia.com.br, cep=62050-360, rua=Rua Juá, numero=169, bairro=Sinhá Sabóia, cidade=Sobral, estado=CE, telefone=(88) 2839-7328, celular=(88) 99329-9576
nome=Thiago e Betina Pizzaria Delivery Ltda, cnpj=59.378.856/0001-48, inscricaoEst=97495571-0, dataAbertura=14/08/2010, site=www.thiagobetina.com.br, email=sac@thiagobetina.com.br, cep=60345-830, rua=Vila Georgina Virino, numero=769, bairro=Vila Velha, cidade=Fortaleza, estado=CE, telefone=(85) 2727-2960, celular=(85) 98208-8873
nome=Joana e Erick Fotografias ME, cnpj=66.453.846/0001-95, inscricaoEst=72793956-4, dataAbertura=23/03/2009, site=www.joanaerick.com.br, email=diretoria@joanaerick.com.br, cep=60355-660, rua=Rua Dom Maurício, numero=906, bairro=Presidente Kennedy, cidade=Fortaleza, estado=CE, telefone=(85) 2821-3981, celular=(85) 98585-0144
nome=Bruno e Luan Vidros ME, cnpj=52.977.297/0001-43, inscricaoEst=71870711-7, dataAbertura=03/12/2007, site=www.brunoluan.com.br, email=contato@brunoluan.com.br, cep=60761-450, rua=Vila Risoneide, numero=114, bairro=Mondubim, cidade=Fortaleza, estado=CE, telefone=(85) 3526-4703, celular=(85) 99558-3312
nome=Enzo e Amanda Entregas Expressas Ltda, cnpj=01.204.360/0001-78, inscricaoEst=15571846-0, dataAbertura=10/12/2006, site=www.enzoamanda.com.br, email=atendimento@enzoamanda.com.br, cep=60810-680, rua=Rua Doralice Costa, numero=398, bairro=Engenheiro Luciano Cavalcante, cidade=Fortaleza, estado=CE, telefone=(85) 2595-5137, celular=(85) 98483-4271
nome=Rodrigo e Arthur Telas Ltda, cnpj=89.161.083/0001-04, inscricaoEst=87716114-3, dataAbertura=21/09/2005, site=www.rodrigoarthur.com.br, email=auditoria@rodrigoarthur.com.br, cep=60874-662, rua=Travessa Franciné, numero=548, bairro=Pedras, cidade=Fortaleza, estado=CE, telefone=(85) 3696-9462, celular=(85) 99528-1380
nome=Filipe e Mariah Ferragens Ltda, cnpj=96.342.535/0001-10, inscricaoEst=24348956-0, dataAbertura=15/11/2004, site=www.filipemariah.com.br, email=pos_venda@filipemariah.com.br, cep=63046-120, rua=Rua Professor Walter Barbosa, numero=302, bairro=Jardim Gonzaga, cidade=Juazeiro do Norte, estado=CE, telefone=(88) 2801-7550, celular=(88) 99571-9963
nome=Tomás e Mariane Advocacia ME, cnpj=12.107.585/0001-22, inscricaoEst=95639358-6, dataAbertura=11/07/2003, site=www.tomasmariane.com.br, email=cobranca@tomasmariane.com.br, cep=63902-315, rua=Rua G, numero=600, bairro=Carrascal, cidade=Quixadá, estado=CE, telefone=(88) 3554-2148, celular=(88) 99600-6855
nome=Pietra e Yuri Casa Noturna ME, cnpj=69.572.916/0001-12, inscricaoEst=40362315-4, dataAbertura=06/02/2002, site=www.pietrayuri.com.br, email=pesquisa@pietrayuri.com.br, cep=60334-105, rua=Avenida Presidente Castelo Branco, numero=726, bairro=Barra do Ceará, cidade=Fortaleza, estado=CE, telefone=(85) 3888-8263, celular=(85) 98436-1563
nome=Luiza e Rayssa Entregas Expressas Ltda, cnpj=23.871.357/0001-40, inscricaoEst=34488301-9, dataAbertura=11/01/2001, site=www.luizarayssa.com.br, email=financeiro@luizarayssa.com.br, cep=60872-480, rua=Rua Augusta, numero=447, bairro=Paupina, cidade=Fortaleza, estado=CE, telefone=(85) 3638-8521, celular=(85) 99543-2678
nome=Marcos Vinicius e Evelyn Publicidade e Propaganda ME, cnpj=40.062.675/0001-80, inscricaoEst=59352155-2, dataAbertura=27/12/2000, site=www.marcos_viniciusevelyn.com.br, email=presidencia@marcos_viniciusevelyn.com.br, cep=60860-782, rua=Travessa Joana Moreira, numero=817, bairro=Boa Vista, cidade=Fortaleza, estado=CE, telefone=(85) 2775-2320, celular=(85) 99717-3440
